City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
244,maceio,BR,80.04,78,75,5.75,-9.6658,-35.7353,1650667060
245,bengkulu,ID,76.39,89,100,6.46,-3.8004,102.2655,1650666771
246,changji,CN,57.99,33,0,4.47,44.0167,87.3167,1650667060
247,severo-kurilsk,RU,38.82,100,100,6.4,50.6789,156.125,1650666770
248,high rock,BS,75.22,66,93,22.3,26.6208,-78.2833,1650667061
249,aktash,RU,14.74,80,38,4.16,50.3,87.7333,1650667061
250,mayumba,GA,77.32,91,100,2.37,-3.432,10.6554,1650667061
251,nokha,IN,77.68,17,0,4.09,27.6,73.4167,1650667062
252,cairns,AU,77.07,97,40,11.5,-16.9167,145.7667,1650667062
253,bonthe,SL,80.37,83,99,5.88,7.5264,-12.505,1650667063
254,klyuchi,RU,30.6,50,1,3.85,52.2667,79.1667,1650667063
255,te anau,NZ,54.95,67,65,7.11,-45.4167,167.7167,1650667063
256,koungou,YT,82.11,78,0,10.36,-12.7336,45.2042,1650667064
257,tilichiki,RU,24.93,85,100,3.89,60.4667,166.1,1650667064
258,ligayan,PH,83.14,72,40,1.68,4.6533,119.4706,1650667064
259,pundaguitan,PH,78.17,87,100,14.09,6.3711,126.1689,1650667065
260,salekhard,RU,-5.58,98,100,2.51,66.53,66.6019,1650667065
261,noumea,NC,80.58,99,80,11.68,-22.2763,166.4572,1650667066
262,ambilobe,MG,72.64,92,91,3.78,-13.2,49.05,1650667066
263,dzerzhinsk,RU,39.02,64,0,2.24,56.2389,43.4631,1650667066
264,buala,SB,82.69,76,85,6.08,-8.145,159.5921,1650667067
265,belmonte,BR,77.14,79,0,6.62,-15.8631,-38.8828,1650666951
266,plouzane,FR,53.65,82,98,14.97,48.3833,-4.6167,1650667067
267,douglas,US,84.07,51,75,34.52,41.3,-96.167,1650667068
268,namibe,AO,72.79,80,45,3.51,-15.1961,12.1522,1650667068
269,mogzon,RU,30.96,84,100,3.29,51.7435,111.9606,1650667068
270,huinan,CN,51.1,36,0,13.2,42.6225,126.2614,1650667069
271,korem,ET,58.24,64,98,2.71,12.5058,39.5228,1650667069
272,meulaboh,ID,77.32,91,77,2.93,4.1363,96.1285,1650667069
273,westport,US,66.29,27,0,11.5,41.1415,-73.3579,1650667070
274,nishihara,JP,75.25,94,75,12.66,26.1842,127.7558,1650667070
275,beyneu,KZ,60.73,56,74,12.44,45.3167,55.2,1650667071
276,nome,US,43.16,45,0,8.05,64.5011,-165.4064,1650667071
277,sinnamary,GF,75.51,91,100,5.91,5.3833,-52.95,1650667071
278,ballina,AU,71.56,78,100,14.97,-28.8667,153.5667,1650667072
279,warmbad,NA,67.05,52,52,4.32,-28.45,18.7333,1650667072
280,luderitz,NA,59.72,78,0,16.8,-26.6481,15.1594,1650666931
281,mareeba,AU,72.45,93,99,5.32,-17.0,145.4333,1650667073
282,vibo valentia,IT,54.19,87,85,8.97,38.6996,16.1274,1650667073
283,sao joao da barra,BR,76.28,87,0,11.83,-21.6403,-41.0511,1650666962
284,coolum beach,AU,74.1,72,59,16.6,-26.5333,153.1,1650667074
285,ribas do rio pardo,BR,79.34,46,56,6.15,-20.4431,-53.7592,1650666806
286,goderich,CA,41.92,77,100,5.99,43.7501,-81.7165,1650666918
287,ciudad bolivar,VE,90.5,40,68,12.46,8.1222,-63.5497,1650667075
288,vila franca do campo,PT,57.61,68,88,6.46,37.7167,-25.4333,1650666915
289,kuito,AO,55.09,77,95,3.98,-12.3833,16.9333,1650667075
290,wuwei,CN,55.71,33,21,3.36,37.9281,102.6414,1650667075
291,zachary,US,82.67,54,0,13.8,30.6485,-91.1565,1650666858
292,olhao,PT,57.09,67,40,26.46,37.0286,-7.8411,1650667076
293,vung tau,VN,81.32,83,23,13.96,10.346,107.0843,1650666893
294,georgetown,MY,82.33,93,20,5.01,5.4112,100.3354,1650666920
295,yulara,AU,60.64,51,100,8.05,-25.2406,130.9889,1650667077
296,surgut,RU,15.98,85,75,11.18,61.25,73.4167,1650667078
297,katsuura,JP,67.21,79,90,10.69,35.1333,140.3,1650666957
298,camacha,PT,58.42,72,75,16.11,33.0833,-16.3333,1650667078
299,naze,JP,72.52,91,100,10.83,28.3667,129.4833,1650667079
300,grants,US,71.83,10,100,24.16,35.1473,-107.8514,1650667079
301,antalaha,MG,74.32,92,97,4.61,-14.9003,50.2788,1650667079
302,liverpool,GB,48.15,74,0,13.8,53.4106,-2.9779,1650666901
303,moree,AU,66.22,59,100,5.75,-29.4667,149.85,1650667080
304,sainte-suzanne,RE,77.22,89,100,17.27,-20.9061,55.6089,1650667080
305,tambo,PE,39.81,80,90,7.52,-14.8,-73.9167,1650667081
306,tera,NE,92.8,10,56,6.73,14.0078,0.7531,1650667081
307,omboue,GA,78.31,89,100,4.47,-1.5746,9.2618,1650666940
308,kavieng,PG,83.53,76,99,10.38,-2.5744,150.7967,1650666932
309,vostok,RU,32.97,97,100,4.27,46.4856,135.8833,1650667082
310,jakar,BT,47.3,91,66,1.59,27.5492,90.7525,1650667082
311,kyaikkami,MM,82.17,76,26,3.44,16.08,97.5675,1650667083
312,padang,ID,78.08,85,100,3.83,-0.9492,100.3543,1650666845
313,sigli,ID,79.16,81,93,4.29,5.3848,95.9609,1650667084
314,ixtapa,MX,79.23,73,0,11.5,20.7,-105.2,1650667084
315,aklavik,CA,24.76,85,100,19.19,68.2191,-135.0107,1650667084
316,cap malheureux,MU,76.46,71,73,8.99,-19.9842,57.6142,1650667085
317,san pedro,PH,82.26,75,20,3.44,14.35,121.0167,1650667085
318,caravelas,BR,74.5,80,14,5.97,-17.7125,-39.2481,1650666944
319,pacific grove,US,62.42,73,20,13.8,36.6177,-121.9166,1650666979
320,thessalon,CA,44.89,71,78,5.28,46.2501,-83.5666,1650667086
321,norman wells,CA,30.24,43,0,13.8,65.282,-126.8329,1650667086
322,tokur,RU,26.69,76,82,2.39,53.1333,132.9,1650667087
323,joigny,FR,46.81,91,86,5.99,47.9829,3.401,1650667087
324,grand-santi,GF,72.39,99,100,2.42,4.25,-54.3833,1650667088
325,wanaka,NZ,54.72,50,63,4.21,-44.7,169.15,1650666895
326,mogadishu,SO,82.63,76,55,14.34,2.0371,45.3438,1650667088
327,rio grande,BR,69.91,96,100,18.63,-32.035,-52.0986,1650667089
328,puerto escondido,MX,85.03,70,75,6.91,15.85,-97.0667,1650667089
329,tsiroanomandidy,MG,66.56,89,100,2.66,-18.7667,46.0333,1650667089
330,banyo,CM,72.01,73,89,1.39,6.75,11.8167,1650667090
331,general roca,AR,63.63,48,56,20.07,-39.0333,-67.5833,1650667090
332,karratha,AU,78.82,29,9,11.07,-20.7377,116.8463,1650667091
333,korcula,HR,58.86,79,96,3.53,42.9622,17.1369,1650667091
334,flin flon,CA,40.84,45,75,6.91,54.7682,-101.865,1650667089
335,calabozo,VE,86.29,50,97,3.83,8.9242,-67.4293,1650667092
336,port macquarie,AU,62.49,94,40,9.22,-31.4333,152.9167,1650666691
337,san cristobal,VE,77.18,84,59,3.67,7.7669,-72.225,1650667092
338,sokolo,ML,90.01,12,100,14.05,14.7328,-6.1219,1650667093
339,avera,US,80.65,62,7,5.14,33.194,-82.5271,1650666904
340,suraabad,AZ,53.76,70,13,6.96,40.8192,49.4687,1650667093
341,zeya,RU,37.83,56,100,1.32,53.75,127.2667,1650667094
342,sungaipenuh,ID,65.73,96,100,1.74,-2.0833,101.3833,1650667094
343,boddam,GB,43.18,81,4,11.65,57.4667,-1.7833,1650667095
344,kushima,JP,68.52,61,100,3.89,31.4583,131.2333,1650667095
345,hirara,JP,75.47,94,75,14.97,24.8,125.2833,1650667095
346,fort nelson,CA,49.59,32,75,4.61,58.8053,-122.7002,1650667096
347,bela,IN,84.65,21,0,2.82,25.9333,81.9833,1650667096
348,ampanihy,MG,78.03,59,89,8.86,-24.7,44.75,1650667097
349,vanderhoof,CA,51.06,42,100,7.49,54.0166,-124.0198,1650667097
350,kangaatsiaq,GL,17.46,88,100,5.84,68.3065,-53.4641,1650667097
351,abonnema,NG,79.52,88,92,4.41,4.7084,6.7931,1650667098
